Country,Locate,Latitude,Longitude,Year,Month,Day,Link,Image
England,Cake Wood,51.418730,-1.577121,2022,7,9,http://cropcircleconnector.com/2022/cakewood/cakewood2020a.html,http://cropcircleconnector.com/2022/cakewood/DJI_0100.jpg
England,Pilgrim´s Trail,51.042725,-1.291143,2022,7,12,http://cropcircleconnector.com/2022/pilgrims/pilgrims2022a.html,http://cropcircleconnector.com/2022/pilgrims/DJI_0258.jpg
England,Lay Wood,51.364766,-1.956006,2022,7,14,http://cropcircleconnector.com/2022/laywood/laywood2022a.html,http://cropcircleconnector.com/2022/laywood/DJI_0320.jpg
England,Barbury Castle,51.489516,-1.768432,2022,7,17,http://cropcircleconnector.com/2022/barburycastle/barburycastle2022a.html,http://cropcircleconnector.com/2022/barburycastle/DJI_0627-HDR.jpg
England,Etchilhampton Hill,51.341275,-1.961360,2022,7,24,http://cropcircleconnector.com/2022/etchilhamptonhill/etchilhamptonhill2022a.html,http://cropcircleconnector.com/2022/etchilhamptonhill/DJI_0678.jpg
England,Tawsmead Copse,51.35794,-1.82410,2022,7,28,http://cropcircleconnector.com/2022/Tawsmead/tawsmead.html,http://cropcircleconnector.com/2022/Tawsmead/DJI_0893.jpg
England,Woodborough Hill,51.35744,-1.83159,2022,8,3,http://cropcircleconnector.com/2022/Woodborough/Woodborough2022a.html,http://cropcircleconnector.com/2022/Woodborough/DJI_0817-HDR-2.jpg
England,Etchilhampton Hill,51.34144,-1.94824,2022,8,8,http://cropcircleconnector.com/2022/Etchilhampton/Etchilhampton2022b.html,http://cropcircleconnector.com/2022/Etchilhampton/DJI_0115.jpg
Russia,Baikal Lake,52.32389,104.13468,2022,8,23,http://cropcircleconnector.com/2022/Irkutsk/Irkutsk2022a.html,http://cropcircleconnector.com/2022/Irkutsk/Screenshot_2[4701].jpg
Brazil,Ipuaçu,-26.63151,-52.46287,2022,10,4,http://cropcircleconnector.com/2022/Ipuacu/Ipuacu2022a.html,http://cropcircleconnector.com/2022/Ipuacu/imagem-misteriosa-proprieda.jpg
England,Stanton St Bernard,51.366111,-1.871861,2021,5,10,http://cropcircleconnector.com/2021/Stanton/Stanton2021a.html,http://cropcircleconnector.com/2021/Stanton/hugh11052021a.jpg
England,Barton Stacey Belt,51.131114,-1.370122,2021,6,8,http://cropcircleconnector.com/2021/barton/barton2021a.html,http://cropcircleconnector.com/2021/barton/DJI_0524.jpg
England,Mud Lane,51.37634,-1.169869,2021,6,9,http://cropcircleconnector.com/2021/mudlane/mudlane2021a.html,http://cropcircleconnector.com/2021/mudlane/hugh11062021e.jpg
England,Shaw Hill,51.26572,-1.64246,2021,6,14,http://cropcircleconnector.com/2021/shawhill/shawhill2021a.html,http://cropcircleconnector.com/2021/shawhill/DJI_0901.jpg
England,Rodfield Lane,51.067222,-1.205056,2021,6,21,http://cropcircleconnector.com/2021/rodfield/rodfield2021a.html,http://cropcircleconnector.com/2021/rodfield/DJI_0684.jpg
England,Tidcombe Down,51.315972,-1.584306,2021,6,28,http://cropcircleconnector.com/2021/Tidcombe/Tidcombe2021a.html,http://cropcircleconnector.com/2021/Tidcombe/hugh29062021d.jpg
England,Whiston ,53.400042,-1.335793,2021,6,29,http://cropcircleconnector.com/2021/Whiston/Whiston2021a.html,http://cropcircleconnector.com/2021/Whiston/whistonSnapshot.jpg
England,Herepath,51.430627,-1.850096,2021,7,2,http://cropcircleconnector.com/2021/herepath/herepath2021a.html,http://cropcircleconnector.com/2021/herepath/DJI_0842-2.jpg
England,Longwood Warren,51.040694,-1.228722,2021,7,4,http://cropcircleconnector.com/2021/longwood/longwood2021a.html,http://cropcircleconnector.com/2021/longwood/DJI_0903.jpg
France,Verdun,49.51050,5.30461,2021,7,4,http://cropcircleconnector.com/2021/Meuse/Meuse2021a.html,http://cropcircleconnector.com/2021/Meuse/remy05072021a.jpg
England,Ridge Way,51.477583,-1.811472,2021,7,5,http://cropcircleconnector.com/2021/ridgeway/ridgeway2021a.html,http://cropcircleconnector.com/2021/ridgeway/DJI_0953.jpg
Poland,Wrzesnia,52.31035,17.66791,2021,7,13,http://cropcircleconnector.com/2021/Wrzesnia/Wrzesnia2021a.html,http://cropcircleconnector.com/2021/Wrzesnia/Wrzesnia2021b.jpg
England,Woodcote Lane,50.9874062,-1.2277594,2021,7,18,http://cropcircleconnector.com/2021/woodcote/woodcote2021a.html,http://cropcircleconnector.com/2021/woodcote/DJI_0276-2.jpg
England,The Brushes,53.27351,-1.43557,2021,7,18,http://cropcircleconnector.com/2021/Brushes/Brushes2021a.html,http://cropcircleconnector.com/2021/Brushes/james20072021b.jpg
England,Nun's Walk,51.215306,-1.352333,2021,7,20,http://cropcircleconnector.com/2021/nunswalk/nunswalk2021a.html,http://cropcircleconnector.com/2021/nunswalk/hugh23072021b.jpg
Germany,Buchendorf,48.05442,11.41569,2021,7,28,http://cropcircleconnector.com/2021/Buchendorf/diagrams.html,http://cropcircleconnector.com/2021/Buchendorf/abuchendorf2021reconstruction/buchendorf17.gif
England,Rose Valley,53.53011,-1.34198,2021,7,31,http://cropcircleconnector.com/2021/Rose/rose2021a.html,http://cropcircleconnector.com/2021/Rose/steel03082021b.jpg
Poland,Szczecinek,53.73054,16.67448,2021,7,31,http://cropcircleconnector.com/2021/Szczecinek/Szczecinek2021a.html,http://cropcircleconnector.com/2021/Szczecinek/poland14082021e.jpg
England,Spiers Lane,51.130515,-1.153834,2021,8,1,http://cropcircleconnector.com/2021/spiers/spiers2021a.html,http://cropcircleconnector.com/2021/spiers/DJI_0733-2.jpg
England,Kitt's Lane,51.035110,-1.090227,2021,8,8,http://cropcircleconnector.com/2021/kitts/kitts2021a.html,http://cropcircleconnector.com/2021/kitts/DJI_0868.jpg
England,Roman Road,51.33425,-1.59255,2021,8,8,http://cropcircleconnector.com/2021/roman/roman2021a.html,http://cropcircleconnector.com/2021/roman/hugh10082021f.jpg
England,Watership Down,51.305066,-1.297782,2021,8,11,http://cropcircleconnector.com/2021/nuthanger/nuthanger2021a.html,http://cropcircleconnector.com/2021/nuthanger/DJI_0684.jpg
England,Roundway Hill,51.380945,-1.986161,2021,8,15,http://cropcircleconnector.com/2021/roundway/roundway2021a.html,http://cropcircleconnector.com/2021/roundway/HUGH16082021H.jpg
England,Sandal Castle,53.657217,-1.495592,2021,8,16,http://cropcircleconnector.com/2021/Sandal/Sandal2021a.html,http://cropcircleconnector.com/2021/Sandal/SteelCitynePilot19082021.jpg
England,Little Nutford,50.87374,-2.18046,2021,8,23,http://cropcircleconnector.com/2021/nutford/nutford2021.html,http://cropcircleconnector.com/2021/nutford/hugh26082021i.jpg
England,Gospel Hill,53.361360,-1.126782,2021,8,30,http://cropcircleconnector.com/2021/Todwick/Todwick2021a.html,http://cropcircleconnector.com/2021/Todwick/Todwick31082021b.jpg
England,Rocky Hill,51.036944,-2.697444,2020,5,26,http://cropcircleconnector.com/2020/26052020/26052020.html,http://cropcircleconnector.com/2020/26052020/hugh17062020c.jpg
England,Potterne Field,51.331056,-1.997917,2020,5,28,http://cropcircleconnector.com/2020/29052020/29052020.html,http://cropcircleconnector.com/2020/29052020/DJI_0318.jpg
England,Mid Wilts Way,51.20130,-2.22079,2020,5,30,http://cropcircleconnector.com/2020/30052020/30052020.html,http://cropcircleconnector.com/2020/30052020/DJI_0368.jpg
France,Lauragais,43.50463,1.65870,2020,5,30,http://cropcircleconnector.com/2020/Lauragai/Lauragai2020a.html,http://cropcircleconnector.com/2020/Lauragai/Tixeire2020a.jpg
England,Handley Hill,50.947917,1.996889,2020,5,31,http://cropcircleconnector.com/2020/dorset001/dorset2020a.html,http://cropcircleconnector.com/2020/dorset001/DJI_0416-Edit.jpg
England,Fletcher's Spring Covert,53.66559,-1.28313,2020,6,5,http://cropcircleconnector.com/2020/darrington/darrington2020.html,http://cropcircleconnector.com/2020/darrington/Thackrah17062020d.jpg
England,Hooper's Wood,51.246463,-2.251372,2020,6,11,http://cropcircleconnector.com/2020/11062020/11062020.html,http://cropcircleconnector.com/2020/11062020/nick12062020a.jpg
England,Barbury Castle,51.489842,-1.768901,2020,6,14,http://cropcircleconnector.com/2020/14062020/14062020a.html,http://cropcircleconnector.com/2020/14062020/DJI_0530.jpg
England,Hunt's Down,51.06773,-1.88448,2020,6,17,http://cropcircleconnector.com/2020/huntsdown/huntsdown2020a.html,http://cropcircleconnector.com/2020/huntsdown/DJI_0695.jpg
England,Ackling Dyke,50.946319,-1.983546,2020,6,21,http://cropcircleconnector.com/2020/Ackling/Ackling2020a.html,http://cropcircleconnector.com/2020/Ackling/droneon2020a.jpg
England,Berwick Bassett Clump,51.456694,-1.843028,2020,6,21,http://cropcircleconnector.com/2020/berwick/berwick2020a.html,http://cropcircleconnector.com/2020/berwick/newman22062020c.jpg
England,Smeathe's Plantation,51.472028,-1.750472,2020,6,25,http://cropcircleconnector.com/2020/Smeathe/Smeathe2020a.html,http://cropcircleconnector.com/2020/Smeathe/547ACDFEA4684896B9205B6AB2E.jpg
England,Allan King Way,51.041056,-1.248278,2020,6,29,http://cropcircleconnector.com/2020/allanking/allanking2020a.html,http://cropcircleconnector.com/2020/allanking/DJI_0977.jpg
Poland,Orchów,52.61206,17.93294,2020,6,30,http://cropcircleconnector.com/2020/Orchow/Orchow2020a.html,http://cropcircleconnector.com/2020/Orchow/piktogram-orchowo-2020-rota.jpg
Hungary,Kiskanizsa,46.44674,16.95544,2020,7,2,http://cropcircleconnector.com/2020/Kiskanizsa/Kiskanizsa2020a.html,http://cropcircleconnector.com/2020/Kiskanizsa/072020.jpg
France,Vimy,50.37859,2.78667,2020,7,5,http://cropcircleconnector.com/2020/Vimy/Vimy2020a.html,http://cropcircleconnector.com/2020/Vimy/Vimy07072020b.jpg
England,Stanton St Bernard,51.366991,-1.859899,2020,7,7,http://cropcircleconnector.com/2020/stanton/stantonstbernard2020a.html,http://cropcircleconnector.com/2020/stanton/hugh09072020a.jpg
England,Easton Clump,51.336637,-1.704411,2020,7,10,http://cropcircleconnector.com/2020/eastonclump/eastonclump2020a.html,http://cropcircleconnector.com/2020/eastonclump/DJI_0494.jpg
England,Cley Hill,51.20419,-2.23298,2020,7,11,http://cropcircleconnector.com/2020/cleyhill/cleyhill2020a.html,http://cropcircleconnector.com/2020/cleyhill/Gilbert13072020b.jpg
England,Valiis House,51.241028,-2.339083,2020,7,12,http://cropcircleconnector.com/2020/valiis/valiis2020.html,http://cropcircleconnector.com/2020/valiis/Gilbert13072020a.jpg
Russia,Berezovaya Roshcha Alleya,51.70329,39.22471,2020,7,13,http://cropcircleconnector.com/2020/Berezovaya/Berezovaya2020a.html,http://cropcircleconnector.com/2020/Berezovaya/russian22072020a.jpg
England,Luxenborough,51.172056,-1.819778,2020,7,16,http://cropcircleconnector.com/2020/luxenborough/luxenborough2020a.html,http://cropcircleconnector.com/2020/luxenborough/hugh17072020g.jpg
England,Etchilhampton,51.342194,-1.945528,2020,7,17,http://cropcircleconnector.com/2020/Etchilhampton/Etchilhampton2020a.html,http://cropcircleconnector.com/2020/Etchilhampton/69E450938AE4433AB2972C0A4AC.jpg
Poland,Nadarzycach,52.29379,17.60360,2020,7,18,http://cropcircleconnector.com/2020/Nadarzycach/Nadarzycach2020a.html,http://cropcircleconnector.com/2020/Nadarzycach/poland20072020b.jpg
England,Scrubbs Lane,51.07842,-1.13851,2020,7,22,http://cropcircleconnector.com/2020/scrubbslane/scrubbslane2020.html,http://cropcircleconnector.com/2020/scrubbslane/DJI_0728.jpg
England,The Ridgeway,51.475583,-1.812611,2020,7,23,http://cropcircleconnector.com/2020/ridgeway/ridgeway2020a.html,http://cropcircleconnector.com/2020/ridgeway/hugh28072020f.jpg
England,Etchilhampton Hill,51.344278,-1.944306,2020,7,26,http://cropcircleconnector.com/2020/EtchilhamptonHill/EtchilhamptonHill2020b.html,http://cropcircleconnector.com/2020/EtchilhamptonHill/DJI_0088.jpg
Germany,Bavaria,47.92607,11.13638,2020,7,26,http://cropcircleconnector.com/2020/Ammersee/Ammersee2020a.html,http://cropcircleconnector.com/2020/Ammersee/0292b.jpg
England,Yarnbury Castle,51.158583,-1.949750,2020,7,26,http://cropcircleconnector.com/2020/yarnburycastle/yarnburycastle2000a.html,http://cropcircleconnector.com/2020/yarnburycastle/DJI_0140.jpg
England,Batemoor,53.31772,-1.47345,2020,7,29,http://cropcircleconnector.com/2020/Dronfield/Dronfield2020a.html,http://cropcircleconnector.com/2020/Dronfield/james30072020b.jpg
England,South Downs Way,50.896565,-0.570155,2020,7,29,http://cropcircleconnector.com/2020/bury/bury2020a.html,http://cropcircleconnector.com/2020/bury/screenshot31.jpg
England,Potterne Field,51.329667,-1.993528,2020,8,4,http://cropcircleconnector.com/2020/Potterne/Potterne2020a.html,http://cropcircleconnector.com/2020/Potterne/DJI_0326-3.jpg
England,Norton Plantation,51.191806,-2.127000,2020,8,7,http://cropcircleconnector.com/2020/norton/norton2020a.html,http://cropcircleconnector.com/2020/norton/DJI_0379.jpg
England,Patney Bridge,51.332917,-1.895194,2020,8,8,http://cropcircleconnector.com/2020/Patney/Patney2020.html,http://cropcircleconnector.com/2020/Patney/DJI_0407.jpg
England,Woolstone Wells,51.583417,-1.575611,2020,8,9,http://cropcircleconnector.com/2020/woolstone/woolstone2020a.html,http://cropcircleconnector.com/2020/woolstone/DJI_0492.jpg
England,Chirton Bottom,51.301333,-1.892667,2020,9,5,http://cropcircleconnector.com/2020/chirton/chirton2020a.html,http://cropcircleconnector.com/2020/chirton/DJI_0729-2.jpg
England,Roundway,51.36322,-1.98350,2020,9,13,http://cropcircleconnector.com/2020/roundway/roundway2020a.html,http://cropcircleconnector.com/2020/roundway/DJI_0787-3.jpg
Brazil,Ipuaçu,-26.62945,-52.38722,2020,10,28,http://cropcircleconnector.com/2020/Ipuacu/Ipuacu2020a.html,http://cropcircleconnector.com/2020/Ipuacu/fab2020a.jpg
England,Norridgde Wood,51.207954,-2.213471,2019,5,22,http://cropcircleconnector.com/2019/NorridgeWood/NorridgeWood2019a.html,http://cropcircleconnector.com/2019/NorridgeWood/DJI0317.jpg
England,Chesterton Farm,51.699257,-1.985164,2019,5,25,http://cropcircleconnector.com/2019/Chesterton/Chesterton2019a.html,http://cropcircleconnector.com/2019/Chesterton/DJI_0346.jpg
England,Spiers Lane,51.6992,-1.9851,2019,5,26,http://cropcircleconnector.com/2019/Candover/Candover2019a.html,http://cropcircleconnector.com/2019/Candover/DJI_0361.jpg
France,Notre Dame,49.05389,2.32627,2019,6,1,http://cropcircleconnector.com/2019/notre/notre2019a.html,http://cropcircleconnector.com/2019/notre/FR20190601NEW.jpg
England,Long Wood,51.096528,-1.363250,2019,6,3,http://cropcircleconnector.com/2019/longwood/longwood2019a.html,http://cropcircleconnector.com/2019/longwood/DJI_0398-2.jpg
England,Belmore Lane,51.01373,-1.25467,2019,6,11,http://cropcircleconnector.com/2019/belmore/belmore2019a.html,http://cropcircleconnector.com/2019/belmore/DJI_0840.jpg
France,Nr Saint Hippolyte,48.22792,7.39020,2019,6,13,http://cropcircleconnector.com/2019/Hippolyte/Hippolyte2019a.html,http://cropcircleconnector.com/2019/Hippolyte/saiint-hipp-new1.jpg
France,Manetou-Salon,47.23387,2.50619,2019,6,14,http://cropcircleconnector.com/2019/Menetou/Menetou2019a.html,http://cropcircleconnector.com/2019/Menetou/menetou-salon11.jpg
France,Manche,49.03054,-0.99055,2019,6,14,http://cropcircleconnector.com/2019/Gieville/Gieville2019a.html,http://cropcircleconnector.com/2019/Gieville/torigny-les-villes-june14-2019-replace.jpg
France,St-Jean of Bassel,48.79963,6.99069,2019,6,17,http://cropcircleconnector.com/2019/StJean/StJean2019a.html,http://cropcircleconnector.com/2019/StJean/190622_00125_Bassel_ganz_Personen_a_8005.jpg
France,Blaesheim,48.51173,7.61401,2019,6,18,http://cropcircleconnector.com/2019/Alsace/Alsace2019a.html,http://cropcircleconnector.com/2019/Alsace/blaesheim-alsace11.jpg
Russia,Fastovetskaya,45.88363,40.13932,2019,6,19,http://cropcircleconnector.com/2019/Fastovetskaya/Fastovetskaya2019.html,http://cropcircleconnector.com/2019/Fastovetskaya/f480214a7f48dbb1264aac7a5ce43b7c.jpg
England,Sparticles Wood,51.282740,-0.149845,2019,6,21,http://cropcircleconnector.com/2019/SparticlesWood/SparticlesWood2019a.html,http://cropcircleconnector.com/2019/SparticlesWood/DJI_0277.jpg
Russia,Sokolovskoe,45.27268,40.69775,2019,6,23,http://cropcircleconnector.com/2019/Sokolovskoe/Sokolovskoe2019a.html,http://cropcircleconnector.com/2019/Sokolovskoe/DJI_0038_small1.jpg
France,Parcay-Meslay,47.44994,0.77213,2019,6,26,http://cropcircleconnector.com/2019/Maxime/Maxime2019a.html,http://cropcircleconnector.com/2019/Maxime/maxime2019b.jpg
Switzerland,Aarefeld,46.76140,7.63288,2019,6,27,http://cropcircleconnector.com/2019/Aarefeld/Aarefeld2019a.html,http://cropcircleconnector.com/2019/Aarefeld/aarefeld2019a.jpg
France,Lidon,46.57991,0.59989,2019,6,28,http://cropcircleconnector.com/2019/Lidon/Lidon2019a.html,http://cropcircleconnector.com/2019/Lidon/65792505_1297614670398551_1706780489731276800_n.jpg
England,Scrubbs Lane,51.07842,-1.13851,2019,6,29,http://cropcircleconnector.com/2019/Scrubbs/Scrubbs2019a.html,http://cropcircleconnector.com/2019/Scrubbs/DJI_0259.jpg
France,Saulx-Marchais,48.84238,1.83934,2019,6,29,http://cropcircleconnector.com/2019/Saulx/Saulx2019a.html,http://cropcircleconnector.com/2019/Saulx/Saulx2019b.jpg
Poland,Wolka Orchowska,52.51918,18.06426,2019,6,29,http://cropcircleconnector.com/2019/wolka/wolka2019a.html,http://cropcircleconnector.com/2019/wolka/65434657_450403739025260_84.jpg
France,Twin Terrils,50.46047,2.57614,2019,6,30,http://cropcircleconnector.com/2019/emilezola/emilezola2019a.html,http://cropcircleconnector.com/2019/emilezola/65960850_2809333615748525_8.jpg
France,Rue De Mieraville,50.84917,2.00715,2019,6,30,http://cropcircleconnector.com/2019/Nielles/Nielles2019.html,http://cropcircleconnector.com/2019/Nielles/ruedu02.jpg
England,Danebury Iron Age Hillfort,51.13985,-1.53293,2019,7,1,http://cropcircleconnector.com/2019/Danebury/danebury2019A.html,http://cropcircleconnector.com/2019/Danebury/DJI_0296.jpg
Switzerland,Buren an der Aare,47.14817,7.34976,2019,7,1,http://cropcircleconnector.com/2019/Buren/Buren2019a.html,http://cropcircleconnector.com/2019/Buren/65666458_10216226248341267_.jpg
France,Thomasse,46.60453,4.34784,2019,7,3,http://cropcircleconnector.com/2019/thomasse/thomasse2019a.html,http://cropcircleconnector.com/2019/thomasse/FR20190703_B_G.jpg
England,Yarnbury Castle,51.158472,-1.950222,2019,7,3,http://cropcircleconnector.com/2019/Yarnbury/Yarnbury2019a.html,http://cropcircleconnector.com/2019/Yarnbury/DJI_0021.jpg
France,La Rosiere Sicault,47.20323,0.74417,2019,7,3,http://cropcircleconnector.com/2019/Louans/Louans2019a.html,http://cropcircleconnector.com/2019/Louans/july4-2019-louans1.jpg
Czech Republic,Between Brezina,49.80326,13.5851128,2019,7,5,http://cropcircleconnector.com/2019/Osek/Osek2019a.html,http://cropcircleconnector.com/2019/Osek/321.JPG
France,Sundhoffen,48.05097,7.41391,2019,7,7,http://cropcircleconnector.com/2019/Sundhoffen/Sundhoffen2019a.html,http://cropcircleconnector.com/2019/Sundhoffen/sundhoffen-july7-2019a.jpg
England,Farley Mount,51.058345,-1.424879,2019,7,8,http://cropcircleconnector.com/2019/farleymount/farleymount2019a.html,http://cropcircleconnector.com/2019/farleymount/ccDJI_00094.jpg
France,Auchy-les-Mines,50.49396,2.77706,2019,7,16,http://cropcircleconnector.com/2019/Auchy/Auchy2019a.html,http://cropcircleconnector.com/2019/Auchy/67157474_446428126085701_36.jpg
England,Rodfield Lane,51.067222,-1.205056,2019,7,16,http://cropcircleconnector.com/2019/Rodfield/Rodfield2019a.html,http://cropcircleconnector.com/2019/Rodfield/DJI_0063.jpg
France,Treuzy-Levelay,48.28062,2.83007,2019,7,16,http://cropcircleconnector.com/2019/Treuzy/Treuzy2019a.html,http://cropcircleconnector.com/2019/Treuzy/France-16-7-19.jpg
England,Westbury White Horse,51.268635,-2.140391,2019,7,20,http://cropcircleconnector.com/2019/westbury/westbury2019a.html,http://cropcircleconnector.com/2019/westbury/CCDJI_00036.jpg
England,Pepperbox Hill,51.030170,-1.709132,2019,7,23,http://cropcircleconnector.com/2019/pepperbox/pepperbox2019a.html,http://cropcircleconnector.com/2019/pepperbox/DJI_0121.jpg
England,Cocum Farm,51.15902,-1.37753,2019,7,28,http://cropcircleconnector.com/2019/cocum/cocum2019a.html,http://cropcircleconnector.com/2019/cocum/cccDJI_00181.jpg
England,Clear Wood ,51.22609,-2.22993,2019,7,28,http://cropcircleconnector.com/2019/clearwood/clearwood2019a.html,http://cropcircleconnector.com/2019/clearwood/DJI_0562-2.jpg
England,Nun's Walk,51.21194,-1.35002,2019,8,4,http://cropcircleconnector.com/2019/nunswalk/nunswalk2019a.html,http://cropcircleconnector.com/2019/nunswalk/DJI_00112.jpg
England,Preston Candover,51.16086,-1.14574,2019,8,11,http://cropcircleconnector.com/2019/Preston/Preston2019a.html,http://cropcircleconnector.com/2019/Preston/DJI_0892.jpg
England,Uffingyon Castle,51.57716,-1.57804,2019,8,18,http://cropcircleconnector.com/2019/uffington/uffington2019a.html,http://cropcircleconnector.com/2019/uffington/Uffington-Castle-cc-11.jpg
England,Etchillampton Hill,51.343611,-1.960417,2019,8,20,http://cropcircleconnector.com/2019/Etchilhampton/Etchilhampton2019a.html,http://cropcircleconnector.com/2019/Etchilhampton/DJI_0017.jpg
England,Stanton St Bernard,51.365583,-1.865167,2019,8,24,http://cropcircleconnector.com/2019/stanton/stanton2019a.html,http://cropcircleconnector.com/2019/stanton/DJI_0371.jpg
